Country,Year,Country,Intensity,Coal (GWh),Oil (GWh),Natural Gas (GWh),Biofuels (GWh),Waste (GWh),Nuclear (GWh),Hydro (GWh),Solar (GWh),Wind (GWh),Geothermal (GWh),Other (GWh),Tidal (GWh),Solar Thermal (GWh)
Austria,1990,Austria,233,7006,1880,7721,1116,64,0,32507,0,0,0,0,0,0
Austria,1991,Austria,242,7786,2230,7467,1193,62,0,32745,0,0,0,0,0,0
Austria,1992,Austria,183,5091,1989,6638,1292,81,0,36099,0,0,0,0,0,0
Austria,1993,Austria,174,3740,2731,6790,1330,73,0,37756,1,0,0,0,0,0
Austria,1994,Austria,190,3908,2605,8643,1173,73,0,36729,1,0,0,0,0,0
Austria,1995,Austria,203,5173,2117,8912,1820,87,0,38114,1,1,0,0,0,0
Austria,1996,Austria,208,6215,1929,9405,1555,248,0,35522,1,5,0,0,0,0
Austria,1997,Austria,186,6857,2391,8466,1680,164,0,37124,1,20,0,0,0,0
Austria,1998,Austria,160,5132,2785,8867,1807,109,0,38254,1,45,0,0,0,0
Austria,1999,Austria,164,5455,2657,9290,1566,196,0,41727,1,51,0,0,0,0
Austria,2000,Austria,156,6739,1702,7851,1497,160,0,43219,3,67,19,0,0,0
Austria,2001,Austria,163,8033,1818,8746,1634,254,0,41837,5,105,17,0,0,0
Austria,2002,Austria,152,7817,1448,9305,1484,255,0,42020,9,140,18,3,0,0
Austria,2003,Austria,204,9512,1861,11164,1571,367,0,35292,15,372,17,3,0,0
Austria,2004,Austria,185,9109,1820,10953,1779,556,0,38966,18,934,15,2,0,0
Austria,2005,Austria,179,8488,1642,13028,2295,585,0,39438,21,1331,3,2,0,0
Austria,2006,Austria,174,8750,1644,10668,3024,765,0,38056,22,1753,17,3,0,0
Austria,2007,Austria,160,7975,1285,9903,3837,803,0,39200,24,2037,18,2,0,0
Austria,2008,Austria,146,6952,1245,11181,3954,792,0,40666,30,2011,18,2,0,0
Austria,2009,Austria,131,5033,1136,12343,4062,822,0,43669,49,1954,17,2,0,0
Austria,2010,Austria,153,6704,1274,14351,4267,802,0,41558,89,2064,18,1,0,0
